price,no_of_bedroom,no_of_bathroom,property_size,property_type,district,price_per_square
446000.0,3.0,2.0,900.0,Apartment,Kuala Lumpur,495.55555555555554
448000.0,3.0,2.0,900.0,Apartment,Kuala Lumpur,497.77777777777777
230000.0,3.0,2.0,850.0,Apartment,Others,270.5882352941176
388000.0,3.0,2.0,1001.0,Apartment,Kuala Lumpur,387.61238761238764
324000.0,3.0,2.0,1076.0,Apartment,Kuala Lumpur,301.1152416356877
324000.0,3.0,2.0,1076.0,Apartment,Kuala Lumpur,301.1152416356877
395000.0,3.0,2.0,1000.0,Apartment,Kuala Lumpur,395.0
320000.0,3.0,2.0,886.0,Apartment,Kuala Lumpur,361.1738148984199
330000.0,3.0,2.0,1016.0,Apartment,Kuala Lumpur,324.8031496062992
320000.0,3.0,2.0,886.0,Apartment,Kuala Lumpur,361.1738148984199
320000.0,3.0,2.0,886.0,Apartment,Kuala Lumpur,361.1738148984199
320000.0,3.0,2.0,886.0,Apartment,Kuala Lumpur,361.1738148984199
320000.0,3.0,2.0,886.0,Apartment,Kuala Lumpur,361.1738148984199
350000.0,3.0,2.0,886.0,Apartment,Kuala Lumpur,395.03386004514675
310000.0,3.0,2.0,800.0,Apartment,Kuala Lumpur,387.5
280000.0,2.0,2.0,730.0,Apartment,Kuala Lumpur,383.56164383561645
270000.0,2.0,2.0,720.0,Apartment,Kuala Lumpur,375.0
298000.0,2.0,2.0,737.0,Apartment,Kuala Lumpur,404.3419267299864
299000.0,2.0,1.0,732.0,Apartment,Kuala Lumpur,408.46994535519127
240000.0,3.0,2.0,960.0,Apartment,Kuala Lumpur,250.0
270000.0,2.0,2.0,732.0,Apartment,Kuala Lumpur,368.8524590163934
259999.0,2.0,2.0,768.0,Apartment,Kuala Lumpur,338.5403645833333
290000.0,2.0,2.0,732.0,Apartment,Kuala Lumpur,396.1748633879781
280000.0,2.0,2.0,714.0,Apartment,Kuala Lumpur,392.15686274509807
510000.0,4.0,2.0,1940.0,Apartment,Kuala Lumpur,262.88659793814435
410000.0,3.0,2.0,1096.0,Apartment,Kuala Lumpur,374.0875912408759
388000.0,3.0,2.0,930.0,Apartment,Kuala Lumpur,417.2043010752688
370000.0,3.0,2.0,917.0,Apartment,Kuala Lumpur,403.4896401308615
